category                                                                                                                                                                                                                                                         order_year_month                                                                                                                                                                                                                                                 sales                  rn
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------- --------------------
Furniture                                                                                                                                                                                                                                                        202210                                                                                                                                                                                                                                                           42888.9                1
Office Supplies                                                                                                                                                                                                                                                  202302                                                                                                                                                                                                                                                           44118.5                1
Technology                                                                                                                                                                                                                                                       202310                                                                                                                                                                                                                                                           53000.1                1

(3 rows affected)


Completion time: 2025-01-31T23:20:26.2240579-06:00
